answer_id,visit_id,question_id,campaign_code,intervention_point_code,question_type,answer,expected_answer,created_at,updated_at_sys
88,11,3,CAM00001,PDV000172,S,3,,2026-03-03,2026-05-06
89,11,8,CAM00001,PDV000172,S,"0, No esta expuesto",Si,2026-03-03,2026-05-06
90,11,7,CAM00001,PDV000172,M,Mejora altura,,2026-03-03,2026-05-06
91,11,5,CAM00001,PDV000172,T,Titular disponible,Si,2026-03-03,2026-05-06
92,11,2,CAM00001,PDV000172,M,Mejora planograma,Si,2026-03-03,2026-05-06
93,11,13,CAM00001,PDV000172,T,Titular disponible,Si,2026-03-03,2026-05-06
94,12,5,CAM00001,PDV000012,T,Farmacéutico adjunto,No,2026-01-24,2026-03-16
95,12,11,CAM00001,PDV000012,S,7,,2026-01-24,2026-03-16
96,12,1,CAM00001,PDV000012,M,Segundo espacio,,2026-01-24,2026-03-16
97,12,13,CAM00001,PDV000012,T,Pendiente de confirmar,,2026-01-24,2026-03-16
98,12,6,CAM00001,PDV000012,S,,,2026-01-24,2026-03-16
99,12,2,CAM00001,PDV000012,M,Mejora planograma,,2026-01-24,2026-03-16
100,12,3,CAM00001,PDV000012,S,1,,2026-01-24,2026-03-16
101,12,4,CAM00001,PDV000012,S,Si,,2026-01-24,2026-03-16
102,13,5,CAM00001,PDV000214,T,Titular disponible,,2026-03-05,2026-04-28
103,13,4,CAM00001,PDV000214,S,"No, rechazan la instalación",Si,2026-03-05,2026-04-28
104,13,7,CAM00001,PDV000214,M,Sacar del cajon,,2026-03-05,2026-04-28
105,13,13,CAM00001,PDV000214,T,OK,,2026-03-05,2026-04-28
106,13,12,CAM00001,PDV000214,T,Sin comentarios,,2026-03-05,2026-04-28
107,13,11,CAM00001,PDV000214,S,,,2026-03-05,2026-04-28
108,13,3,CAM00001,PDV000214,S,1,,2026-03-05,2026-04-28
109,13,6,CAM00001,PDV000214,S,4 ,,2026-03-05,2026-04-28
110,14,10,CAM00001,PDV000198,T,Auxiliar de farmacia,,2026-02-20,2026-04-14
111,14,12,CAM00001,PDV000198,T,Auxiliar de farmacia,Si,2026-02-20,2026-04-14
112,14,11,CAM00001,PDV000198,S,4 ,,2026-02-20,2026-04-14
113,14,3,CAM00001,PDV000198,S,6,No,2026-02-20,2026-04-14
114,14,8,CAM00001,PDV000198,,3,No,2026-02-20,2026-04-14
115,14,1,CAM00001,PDV000198,M,Sacar del cajon,,2026-02-20,2026-04-14
116,14,13,CAM00001,PDV000198,T,,Si,2026-02-20,2026-04-14
117,14,9,CAM00001,PDV000198,T,Farmacéutico adjunto,,2026-02-20,2026-04-14
118,15,1,CAM00001,PDV000039,M,Mejora planograma ,,2026-01-09,2026-01-23
119,15,11,CAM00001,PDV000039,S,6,No,2026-01-09,2026-01-23
120,15,12,CAM00001,PDV000039,T,Titular disponible,,2026-01-09,2026-01-23
121,15,,CAM00001,PDV000039,S,10 o mas,,2026-01-09,2026-01-23
122,15,6,CAM00001,PDV000039,S,"0, No lo trabajan",,2026-01-09,2026-01-23
123,15,2,CAM00001,PDV000039,M,Segundo espacio,Si,2026-01-09,2026-01-23
124,15,5,CAM00001,PDV000039,T,Titular disponible,,2026-01-09,2026-01-23
125,15,9,CAM00001,PDV000039,T,OK,Si,2026-01-09,2026-01-23
126,16,10,CAM00001,,T,Titular disponible,,2026-02-17,2026-04-03
127,16,13,CAM00001,,T,Titular disponible,,2026-02-17,2026-04-03
128,16,8,CAM00001,,S,6,,2026-02-17,2026-04-03
129,16,12,CAM00001,,T,Farmacéutico adjunto,,2026-02-17,2026-04-03
130,16,11,CAM00001,,S,9,No,2026-02-17,2026-04-03
131,16,1,CAM00001,,M,Mejora planograma,Si,2026-02-17,2026-04-03
132,16,2,CAM00001,,M,Mejora altura,,2026-02-17,2026-04-03
133,16,9,CAM00001,,T,Farmacéutico adjunto,Si,2026-02-17,2026-04-03
134,17,,CAM00001,PDV000137,S,1,,2025-12-31,2026-05-19
135,17,12,CAM00001,PDV000137,T,Titular disponible,,2025-12-31,2026-05-19
136,17,9,CAM00001,PDV000137,T,,,2025-12-31,2026-05-19
137,18,16,CAM00002,PDV000118,N,30,,2026-02-13,2026-04-08
138,18,18,CAM00002,PDV000118,M,Segundo espacio,,2026-02-13,2026-04-08
139,18,15,CAM00002,PDV000118,S,No,,2026-02-13,2026-04-08
140,18,14,CAM00002,PDV000118,S,Farmacia orientada dermo,Si,2026-02-13,2026-04-08
141,18,17,CAM00002,PDV000118,T,Sin comentarios,,2026-02-13,2026-04-08
142,19,14,CAM00002,PDV000048,S,Farmacia de pueblo,,2026-01-08,2026-05-13
143,19,16,CAM00002,PDV000048,N,15,,2026-01-08,2026-05-13
144,19,18,CAM00002,PDV000048,M,Sacar del cajon,,2026-01-08,2026-05-13
145,20,16,CAM00002,PDV000195,N,10,,2026-01-21,2026-04-18
146,20,15,CAM00002,PDV000195,S,,,2026-01-21,2026-04-18
147,20,17,CAM00002,PDV000195,T,Sin comentarios,,2026-01-21,2026-04-18
148,21,17,CAM00002,PDV000071,T,Auxiliar de farmacia,No,2026-01-16,2026-04-04
149,21,14,CAM00002,PDV000071,S,Otro,,2026-01-16,2026-04-04
150,21,18,CAM00002,PDV000071,M,Ampliar facings,,2026-01-16,2026-04-04
151,22,18,CAM00002,PDV000163,M,Segundo espacio,,2026-02-05,2026-05-03
152,22,17,CAM00002,PDV000163,T,Sin comentarios,,2026-02-05,2026-05-03
153,22,14,CAM00002,PDV000163,S,Farmacia de pueblo,Si,2026-02-05,2026-05-03
154,23,16,CAM00002,PDV000066,N,3,No,2026-02-02,2026-04-02
155,23,15,CAM00002,PDV000066,,No ,,2026-02-02,2026-04-02
156,23,17,CAM00002,PDV000066,T,Auxiliar de farmacia,Si,2026-02-02,2026-04-02
157,23,14,CAM00002,PDV000066,S,,,2026-02-02,2026-04-02
158,23,18,CAM00002,PDV000066,M,Mejora planograma,,2026-02-02,2026-04-02
159,24,16,CAM00002,PDV000120,N,30,,2026-02-22,2026-04-12
160,24,18,CAM00002,PDV000120,M,Mejora altura,,2026-02-22,2026-04-12
161,24,17,CAM00002,PDV000120,T,Farmacéutico adjunto,No,2026-02-22,2026-04-12
162,24,14,CAM00002,PDV000120,S,Farmacia orientada dermo,,2026-02-22,2026-04-12
163,24,15,CAM00002,PDV000120,S,Si,,2026-02-22,2026-04-12
164,25,17,CAM00002,PDV000243,T,Titular disponible,,2026-02-16,2026-04-05
165,25,14,CAM00002,PDV000243,S,Farmacia pequeña,,2026-02-16,2026-04-05
166,25,18,CAM00002,PDV000243,M,,,2026-02-16,2026-04-05
167,26,15,CAM00002,PDV000028,S,Si,,2026-02-18,2026-04-20
168,26,18,CAM00002,PDV000028,M,Segundo espacio,,2026-02-18,2026-04-20
169,26,17,CAM00002,PDV000028,T,Auxiliar de farmacia,,2026-02-18,2026-04-20
170,27,16,CAM00002,PDV000045,,3,,2026-02-18,2026-02-23
171,27,14,CAM00002,PDV000045,S,Farmacia orientada dermo,,2026-02-18,2026-02-23
172,27,17,CAM00002,PDV000045,T,Sin comentarios,,2026-02-18,2026-02-23
173,28,16,CAM00002,PDV000157,N,3,No,2026-01-30,2026-02-22
174,28,14,CAM00002,PDV000157,S,Farmacia blanca,,2026-01-30,2026-02-22
175,28,18,CAM00002,PDV000157,M,Ampliar facings,,2026-01-30,2026-02-22
176,29,16,CAM00002,,N,5,No,2026-02-10,2026-04-28
177,29,18,CAM00002,,M,Segundo espacio,,2026-02-10,2026-04-28
178,29,17,CAM00002,,T,OK,Si,2026-02-10,2026-04-28
179,30,17,CAM00002,PDV000224,T,Pendiente de confirmar,No,2026-01-28,2026-02-16
180,30,18,CAM00002,PDV000224,M,,,2026-01-28,2026-02-16
181,30,14,CAM00002,PDV000224,S,Farmacia blanca ,,2026-01-28,2026-02-16
182,30,15,CAM00002,PDV000224,S,Si,,2026-01-28,2026-02-16
183,30,16,CAM00002,PDV000224,N,10,No,2026-01-28,2026-02-16
184,31,16,CAM00002,,N,10,Si,2026-02-21,2026-05-16
185,31,18,CAM00002,,M,Mejora altura,Si,2026-02-21,2026-05-16
186,31,17,CAM00002,,T,OK,,2026-02-21,2026-05-16
187,31,15,CAM00002,,S,No,No,2026-02-21,2026-05-16
188,31,14,CAM00002,,S,Farmacia con producto expuesto,Si,2026-02-21,2026-05-16
189,32,17,CAM00002,PDV000113,,Sin comentarios,,2026-02-19,2026-03-05
190,32,14,CAM00002,PDV000113,S,Farmacia orientada dermo,,2026-02-19,2026-03-05
191,32,16,CAM00002,PDV000113,N,45,,2026-02-19,2026-03-05
192,33,18,CAM00002,PDV000165,M,Mejora planograma,Si,2026-02-01,2026-05-09
193,33,14,CAM00002,PDV000165,S,Farmacia con producto expuesto,,2026-02-01,2026-05-09
194,33,16,CAM00002,PDV000165,N,2,,2026-02-01,2026-05-09
195,34,18,CAM00002,PDV000038,M,Mejora planograma,Si,2026-01-14,2026-02-25
196,34,15,CAM00002,PDV000038,S,No,Si,2026-01-14,2026-02-25
197,34,17,CAM00002,PDV000038,T,Sin comentarios,,2026-01-14,2026-02-25
198,35,17,CAM00002,PDV000191,T,OK,,2026-01-16,2026-04-25
199,35,18,CAM00002,PDV000191,M,Mejora altura,,2026-01-16,2026-04-25
200,35,14,CAM00002,PDV000191,S,,,2026-01-16,2026-04-25
201,36,18,CAM00002,PDV000104,M,Mejora altura,No,2026-02-10,2026-04-02
202,36,15,CAM00002,PDV000104,S,No,,2026-02-10,2026-04-02
203,36,17,CAM00002,PDV000104,T,Auxiliar de farmacia,,2026-02-10,2026-04-02
204,37,14,CAM00002,PDV000172,S,Otro,No,2026-01-06,2026-03-10
205,37,15,CAM00002,PDV000172,S,Si,Si,2026-01-06,2026-03-10
206,37,16,CAM00002,PDV000172,N,60,,2026-01-06,2026-03-10
207,38,18,CAM00002,PDV000094,M,Segundo espacio,,2026-01-22,2026-04-21
208,38,17,CAM00002,PDV000094,T,Pendiente de confirmar,,2026-01-22,2026-04-21
209,38,14,CAM00002,PDV000094,S,Otro,,2026-01-22,2026-04-21
210,39,14,CAM00002,PDV000220,S,Otro ,,2026-02-21,2026-03-19
211,39,17,CAM00002,PDV000220,T,Sin comentarios,,2026-02-21,2026-03-19
212,39,16,CAM00002,PDV000220,N,60,,2026-02-21,2026-03-19
213,39,18,CAM00002,PDV000220,,Segundo espacio,,2026-02-21,2026-03-19
214,39,15,CAM00002,PDV000220,S,Si,,2026-02-21,2026-03-19
215,40,18,CAM00002,PDV000063,M,Mejora altura,No,2026-01-21,2026-04-10
216,40,14,CAM00002,PDV000063,S,Otro,No,2026-01-21,2026-04-10
217,40,15,CAM00002,PDV000063,S,No,,2026-01-21,2026-04-10
218,41,18,CAM00002,PDV000154,M,Segundo espacio,No,2026-01-21,2026-04-10
219,41,17,CAM00002,PDV000154,T,,,2026-01-21,2026-04-10
220,41,15,CAM00002,PDV000154,S,Si,,2026-01-21,2026-04-10
221,41,14,CAM00002,PDV000154,S,Farmacia de pueblo,,2026-01-21,2026-04-10
222,41,16,CAM00002,PDV000154,N,90,,2026-01-21,2026-04-10
223,42,16,CAM00002,PDV000127,,60,No,2026-01-27,2026-03-31
224,42,15,CAM00002,PDV000127,S,Si,No,2026-01-27,2026-03-31
225,42,18,CAM00002,PDV000127,M,Sacar del cajon,,2026-01-27,2026-03-31
226,43,16,CAM00002,PDV000082,N,2,,2026-01-10,2026-03-06
227,43,14,CAM00002,PDV000082,S,Farmacia orientada dermo,Si,2026-01-10,2026-03-06
228,43,18,CAM00002,PDV000082,M,Mejora planograma,,2026-01-10,2026-03-06
229,44,17,CAM00002,PDV000129,T,OK,,2026-01-25,2026-02-19
230,44,14,CAM00002,PDV000129,S,Farmacia de pueblo ,,2026-01-25,2026-02-19
231,44,,CAM00002,PDV000129,N, 2 ,,2026-01-25,2026-02-19
232,45,16,CAM00002,PDV000245,N,20,,2026-01-26,2026-03-17
233,46,17,CAM00002,PDV000116,T,OK,,2026-01-26,2026-02-25
234,46,16,CAM00002,PDV000116,N,1,,2026-01-26,2026-02-25
235,46,,CAM00002,PDV000116,M,,,2026-01-26,2026-02-25
236,47,15,CAM00002,PDV000170,S,Si,,2026-01-23,2026-03-06
237,47,14,CAM00002,PDV000170,S,,,2026-01-23,2026-03-06
238,47,18,CAM00002,PDV000170,M,,,2026-01-23,2026-03-06
239,48,18,CAM00002,PDV000242,M,Sacar del cajon,,2026-02-05,2026-03-25
240,48,14,CAM00002,PDV000242,S,,,2026-02-05,2026-03-25
241,48,16,CAM00002,PDV000242,N, 60 ,,2026-02-05,2026-03-25
242,49,16,CAM00002,PDV000138,N,10,,2026-01-28,2026-03-25
243,50,18,CAM00002,PDV000084,M,,,2026-01-25,2026-02-18
244,50,17,CAM00002,PDV000084,T,Sin comentarios,,2026-01-25,2026-02-18
245,50,16,CAM00002,PDV000084,N,60,,2026-01-25,2026-02-18
246,50,14,CAM00002,PDV000084,S,Farmacia pequeña,,2026-01-25,2026-02-18
247,50,15,CAM00002,PDV000084,S,Si,,2026-01-25,2026-02-18
248,51,18,CAM00002,PDV000120,M,Sacar del cajon,,2026-01-27,2026-02-07
249,51,17,CAM00002,PDV000120,T,OK,Si,2026-01-27,2026-02-07
250,51,16,CAM00002,PDV000120,N, 30 ,,2026-01-27,2026-02-07
251,52,16,CAM00002,PDV000096,N,5,,2026-02-11,2026-04-18
252,52,18,CAM00002,PDV000096,M,Mejora altura,Si,2026-02-11,2026-04-18
253,52,,CAM00002,PDV000096,S,Farmacia con producto expuesto,,2026-02-11,2026-04-18
254,53,17,CAM00002,PDV000147,T,OK,,2026-01-15,2026-04-08
255,53,16,CAM00002,PDV000147,N,1,No,2026-01-15,2026-04-08
256,53,18,CAM00002,PDV000147,M,Mejora planograma,,2026-01-15,2026-04-08
257,54,15,CAM00002,PDV000087,S,Si,Si,2026-02-15,2026-03-21
258,54,17,CAM00002,PDV000087,T,,Si,2026-02-15,2026-03-21
259,54,16,CAM00002,PDV000087,N,1,,2026-02-15,2026-03-21
260,54,14,CAM00002,PDV000087,S,Farmacia blanca,Si,2026-02-15,2026-03-21
261,54,18,CAM00002,PDV000087,M,Ampliar facings,,2026-02-15,2026-03-21
262,55,18,CAM00002,PDV000150,M,Sacar del cajon ,,2026-01-21,2026-04-12
263,55,14,CAM00002,PDV000150,S,Farmacia pequeña,Si,2026-01-21,2026-04-12
264,55,16,CAM00002,PDV000150,N,20,,2026-01-21,2026-04-12
265,55,17,CAM00002,PDV000150,T,Sin comentarios,No,2026-01-21,2026-04-12
266,55,15,CAM00002,PDV000150,S,Si,Si,2026-01-21,2026-04-12
267,56,14,CAM00002,PDV000200,S,Farmacia de pueblo,,2026-01-12,2026-05-05
268,56,16,CAM00002,PDV000200,N,30,,2026-01-12,2026-05-05
269,56,17,CAM00002,PDV000200,T,,,2026-01-12,2026-05-05
270,57,14,CAM00002,PDV000032,S,Otro,Si,2026-02-07,2026-04-13
271,57,15,CAM00002,PDV000032,S,No,,2026-02-07,2026-04-13
272,57,18,CAM00002,PDV000032,M,Mejora altura,Si,2026-02-07,2026-04-13
273,58,16,CAM00002,PDV000186,N, 15 ,,2026-02-17,2026-04-16
274,58,,CAM00002,PDV000186,M,Mejora altura,,2026-02-17,2026-04-16
275,58,17,CAM00002,PDV000186,T,Sin comentarios,,2026-02-17,2026-04-16
276,59,18,CAM00002,PDV000002,M,Ampliar facings,No,2026-01-09,2026-01-16
277,59,16,CAM00002,PDV000002,N,15,No,2026-01-09,2026-01-16
278,59,17,CAM00002,PDV000002,T,Pendiente de confirmar,,2026-01-09,2026-01-16
279,60,18,CAM00002,PDV000187,M,Segundo espacio,,2026-01-23,2026-04-22
280,60,14,CAM00002,PDV000187,S,Farmacia de pueblo,No,2026-01-23,2026-04-22
281,60,17,CAM00002,PDV000187,T,Auxiliar de farmacia,,2026-01-23,2026-04-22
282,61,15,CAM00002,PDV000096,S,Si,,2026-01-27,2026-03-21
283,62,14,CAM00002,PDV000096,S,Farmacia con producto expuesto,,2026-02-18,2026-03-20
284,62,17,CAM00002,PDV000096,T,Auxiliar de farmacia,,2026-02-18,2026-03-20
285,62,15,CAM00002,PDV000096,S,No,,2026-02-18,2026-03-20
286,63,,CAM00003,PDV000108,S,,No,2026-01-04,2026-01-30
287,63,,CAM00003,PDV000108,,4,,2026-01-04,2026-01-30
288,63,21,CAM00003,PDV000108,T,,,2026-01-04,2026-01-30
289,64,20,CAM00003,PDV000127,S,6,No,2026-01-30,2026-05-04
290,64,21,CAM00003,PDV000127,T,Pendiente de confirmar,No,2026-01-30,2026-05-04
291,64,19,CAM00003,PDV000127,S,No agendada ,No,2026-01-30,2026-05-04
292,65,21,CAM00003,PDV000078,T,Titular disponible,Si,2026-02-07,2026-04-02
293,65,22,CAM00003,PDV000078,S,,No,2026-02-07,2026-04-02
294,65,23,CAM00003,PDV000078,N,5,Si,2026-02-07,2026-04-02
295,66,22,CAM00003,PDV000013,,,Si,2026-02-06,2026-03-15
296,67,20,CAM00003,PDV000113,S,2,,2026-01-31,2026-03-09
297,67,23,CAM00003,PDV000113,N,20,,2026-01-31,2026-03-09
298,67,21,CAM00003,PDV000113,T,Titular disponible,,2026-01-31,2026-03-09
299,67,22,CAM00003,PDV000113,S,,Si,2026-01-31,2026-03-09
300,67,19,CAM00003,PDV000113,S,No agendada,,2026-01-31,2026-03-09
301,68,26,CAM00004,PDV000201,T,Auxiliar de farmacia,No,2026-01-05,2026-01-30
302,68,27,CAM00004,PDV000201,N,3,Si,2026-01-05,2026-01-30
303,68,30,CAM00004,PDV000201,S,Farmacia cerrada,,2026-01-05,2026-01-30
304,68,31,CAM00004,PDV000201,S,8,No,2026-01-05,2026-01-30
305,68,33,CAM00004,PDV000201,M,Mejora planograma,Si,2026-01-05,2026-01-30
306,68,32,CAM00004,PDV000201,S,Adjunto,,2026-01-05,2026-01-30
307,68,29,CAM00004,PDV000201,N,90,No,2026-01-05,2026-01-30
308,68,24,CAM00004,PDV000201,T,Sin comentarios,,2026-01-05,2026-01-30
309,68,25,CAM00004,PDV000201,T,Farmacéutico adjunto,,2026-01-05,2026-01-30
310,68,28,CAM00004,PDV000201,T,Titular disponible,,2026-01-05,2026-01-30
311,69,27,CAM00004,PDV000047,N,20,,2026-03-06,2026-05-13
312,69,24,CAM00004,PDV000047,T,Pendiente de confirmar,Si,2026-03-06,2026-05-13
313,69,29,CAM00004,PDV000047,N,45,Si,2026-03-06,2026-05-13
314,69,33,CAM00004,PDV000047,M,Mejora planograma,,2026-03-06,2026-05-13
315,69,28,CAM00004,PDV000047,T,Titular disponible,,2026-03-06,2026-05-13
316,69,26,CAM00004,PDV000047,T,OK,,2026-03-06,2026-05-13
317,69,30,CAM00004,PDV000047,S,Rechaza formación,No,2026-03-06,2026-05-13
318,69,32,CAM00004,PDV000047,S,Adjunto,,2026-03-06,2026-05-13
319,69,25,CAM00004,PDV000047,T,Pendiente de confirmar,Si,2026-03-06,2026-05-13
320,69,31,CAM00004,PDV000047,S,,,2026-03-06,2026-05-13
321,70,32,CAM00004,PDV000139,S,Auxiliar,,2026-02-12,2026-05-05
322,70,28,CAM00004,PDV000139,T,Titular disponible,,2026-02-12,2026-05-05
323,70,27,CAM00004,PDV000139,N,30,Si,2026-02-12,2026-05-05
324,70,24,CAM00004,PDV000139,T,Titular disponible,No,2026-02-12,2026-05-05
325,70,33,CAM00004,PDV000139,M,,,2026-02-12,2026-05-05
326,70,31,CAM00004,PDV000139,S,1,,2026-02-12,2026-05-05
327,71,25,CAM00004,PDV000220,T,Auxiliar de farmacia,,2026-02-19,2026-05-06
328,71,31,CAM00004,PDV000220,S,,,2026-02-19,2026-05-06
329,71,24,CAM00004,PDV000220,T,Titular disponible,,2026-02-19,2026-05-06
330,71,26,CAM00004,PDV000220,T,Sin comentarios,,2026-02-19,2026-05-06
331,71,33,CAM00004,PDV000220,M,,,2026-02-19,2026-05-06
332,71,29,CAM00004,PDV000220,N,90,,2026-02-19,2026-05-06
333,72,27,CAM00004,PDV000054,N,1,Si,2026-02-06,2026-04-25
334,72,30,CAM00004,PDV000054,,Formación OK,,2026-02-06,2026-04-25
335,72,26,CAM00004,PDV000054,T,Titular disponible,No,2026-02-06,2026-04-25
336,72,25,CAM00004,PDV000054,T,Sin comentarios,,2026-02-06,2026-04-25
337,72,32,CAM00004,PDV000054,S,Auxiliar,Si,2026-02-06,2026-04-25
